Стоматологические препараты //100%;<a href="/drug/rubric/A01/">%P</a>
Другие препараты для лечения заболеваний костно-мышечной системы //100%;<a href="/drug/rubric/M09/">%P</a>
Анестетики //100%;<a href="/drug/rubric/N01/">%P</a>
Анальгетики //100%;<a href="/drug/rubric/N02/">%P</a>
Противоэпилептические препараты //100%;<a href="/drug/rubric/N03/">%P</a>
Противопаркинсонические препараты //100%;<a href="/drug/rubric/N04/">%P</a>
Психолептики //100%;<a href="/drug/rubric/N05/">%P</a>
Психоаналептики //100%;<a href="/drug/rubric/N06/">%P</a>
Другие препараты для лечения заболеваний нервной системы //100%;<a href="/drug/rubric/N07/">%P</a>
Противопротозойные препараты //100%;<a href="/drug/rubric/P01/">%P</a>
Противогельминтные препараты //100%;<a href="/drug/rubric/P02/">%P</a>
Инсектициды //100%;<a href="/drug/rubric/P03/">%P</a>
Препараты для лечения заболеваний носа //100%;<a href="/drug/rubric/R01/">%P</a>
Препараты для лечения заболеваний глотки //100%;<a href="/drug/rubric/R02/">%P</a>
Препараты для лечения бронхиальной астмы //100%;<a href="/drug/rubric/R03/">%P</a>
Лекарства от простуды //100%;<a href="/drug/rubric/R05/">%P</a>
Противоаллергические //100%;<a href="/drug/rubric/R06/">%P</a>
Другие препараты для лечения заболеваний органов дыхания //100%;<a href="/drug/rubric/R07/">%P</a>
Препараты для глаз //100%;<a href="/drug/rubric/S01/">%P</a>
Препараты для лечения заболеваний уха //100%;<a href="/drug/rubric/S02/">%P</a>
Препараты для ушей //100%;<a href="/drug/rubric/S03/">%P</a>
Аллергены //100%;<a href="/drug/rubric/V01/">%P</a>
Прочие разные препараты //100%;<a href="/drug/rubric/V03/">%P</a>
Диагностические препараты //100%;<a href="/drug/rubric/V04/">%P</a>
Препараты для питания //100%;<a href="/drug/rubric/V06/">%P</a>
Нелечебные средства //100%;<a href="/drug/rubric/V07/">%P</a>
Контрастные вещества //100%;<a href="/drug/rubric/V08/">%P</a>
Диагностические радиофармацевтические средства //100%;<a href="/drug/rubric/V09/">%P</a>
